Feature_Id|Name|Application_Id|Plan_Id|Is_SaaS
categories|Category|products-inventory|1|0
modifiers|Modifiers|products-inventory|1|0
products|Product|products-inventory|1|0
variants|Variants|products-inventory|1|0
purchase-orders|Purchase Orders|products-inventory|2|0
stock-movements|Stock and Stock Movements|products-inventory|2|0
suppliers-management|Suppliers|products-inventory|2|0
tables|Tables|dining-system|1|0
floor-plans|Floor plans|dining-system|2|0
table-assignments|Table assignments|dining-system|2|0
table-zones|Table Zones|dining-system|2|0
kitchen-order-items|Kitchen Order Items|kitchen-display-system|1|0
kitchen-orders|Kitchen Orders|kitchen-display-system|1|0
kitchen-display-devices|Kitchen Display Devices|kitchen-display-system|2|0
kitchen-event-log|Kitchen Event Log|kitchen-display-system|2|0
kitchen-stations|Kitchen Stations|kitchen-display-system|2|0
order-discounts|Order Discounts|pos|1|0
order-items|Order Items|pos|1|0
order-payments|Order Payments|pos|1|0
order-taxes|Order Taxes|pos|1|0
orders|Orders|pos|1|0
order-item-modifiers|Order Item Modifiers|pos|1|0
cash-drawers|Cash Drawers|cash-drawers|1|0
cash-transactions|Cash Transactions|cash-drawers|1|0
cash-drawer-history|Cash Drawer History|cash-drawers|2|0
shifts|Shifts|shifts|1|0
shift-assignment|Shift Assignment|shifts|2|0
tip-movements|Tip movements|tips|2|0
tip-pool-members|Tip pool members|tips|2|0
tip-settlements|Tip settlements|tips|2|0
tips|Tips|tips|2|0
tips-allocations|Tips Allocations|tips|2|0
tips-pools|Tips pools|tips|2|0
reservations|Reservations|reservations|2|0
reservation-guests|Reservation Guests|reservations|2|0
reservation-notes|Reservation Notes|reservations|2|0
reservation-status-history|Reservation Status History|reservations|2|0
reservation-tables|Reservation Tables|reservations|2|0
table-turnover|Table Turnover Optimization|table-turnover|2|0
delivery-assignments|Delivery Assignments|delivery-management|2|0
delivery-drivers|Delivery Drivers|delivery-management|2|0
delivery-fees|Delivery Fees|delivery-management|2|0
delivery-tracking|Delivery Tracking|delivery-management|2|0
delivery-zones|Delivery Zones|delivery-management|2|0
online-order-items|Online Order Items|online-ordering|1|0
online-orders|Online Orders|online-ordering|1|0
online-payments|Online Payments|online-ordering|1|0
online-delivery-info|Online Delivery Info|online-ordering|2|0
online-menu-categories|Online Menu Categories|online-ordering|2|0
online-menu-items|Online Menu Items|online-ordering|2|0
online-menus|Online Menus|online-ordering|2|0
online-stores|Online Stores|online-ordering|2|0
qr-code-locations|QR Code Locations|qr-code|2|0
qr-code-menu-items|QR Code Menu Items|qr-code|2|0
qr-code-menu-sections|QR Code Menu Sections|qr-code|2|0
qr-code-menus|QR Code Menus|qr-code|2|0
qr-code-orders|QR Code Orders|qr-code|2|0
qr-order-items|QR Order Items|qr-code|2|0
loyalty-customers|Loyalty costumers|loyalty-system|3|0
loyalty-coupons|Loyalty coupons|loyalty-system|3|0
loyalty-point-transactions|Loyalty point transactions|loyalty-system|3|0
loyalty-programs|Loyalty Programs|loyalty-system|3|0
loyalty-rewards|Loyalty rewards|loyalty-system|3|0
loyalty-rewards-redemptions|Loyalty rewards redemptions|loyalty-system|3|0
loyalty-tiers|Loyalty tiers|loyalty-system|3|0
marketing-automation|Marketing Automation|marketing-system|3|0
marketing-automation-action|Marketing Automation Action|marketing-system|3|0
marketing-campaign|Marketing Campaign|marketing-system|3|0
marketing-campaign-audience|Marketing Campaign Audience|marketing-system|3|0
marketing-coupon|Marketing Coupon|marketing-system|3|0
marketing-coupon-redemption|Marketing Coupon Redemption|marketing-system|3|0
marketing-message-log|Marketing Message Log|marketing-system|3|0
marketing-segment|Marketing Segment|marketing-system|3|0
marketing-segment-rule|Marketing Segment Rule|marketing-system|3|0
